,Degree Centrality,Closeness Centrality,Betweeness Centrality,Pagerank Centrality,Eigenvector Centrality
EFO_0004844,0.0003761519653940192,0.2859988562364177,0.0,3.322764768164726e-05,0.0004650959905453672
EFO_0006332,0.000940379913485048,0.30154950634564565,0.0,4.256521149222978e-05,0.000840325416183771
EFO_0007901,0.0007523039307880384,0.3004581096139757,0.0,4.0238222167799596e-05,0.0006023145296772132
EFO_0009595,0.0003761519653940192,0.28117065793310386,0.0,3.486470783390506e-05,0.00022324377492988784
GO_0070527,0.0001880759826970096,0.2737531302712248,0.0,3.0888979117678475e-05,0.00017791674401963946
HP_0000790,0.007146887342486365,0.3383430396933026,0.0014708021513394987,0.00040549832801985413,0.0004158055185480119
EFO_0004845,0.0001880759826970096,0.2742618600198189,0.0,3.090336311134972e-05,0.00017418981257065204
Orphanet_2828,0.0005642279480910288,0.29042313066054065,0.0,3.707876980635279e-05,0.0005021896920387178
EFO_1000897,0.022945269889035173,0.370140779734146,0.0032308528839391274,0.0009392444431555822,0.0016939157663291903
EFO_0003779,0.0007523039307880384,0.3248746944052789,2.67173156387928e-06,4.898592121840751e-05,0.00041591775828814936
EFO_0005059,0.0011284558961820576,0.33262384976547493,2.461114816047624e-07,5.1527627808434806e-05,0.0008877613728667601
MONDO_0018438,0.0024449877750611247,0.3478916155254015,3.4798851381579454e-06,8.635090267566948e-05,0.000888740576326248
Orphanet_39041,0.003197291705849163,0.3581637287517818,9.616664201707079e-05,0.00011076102011545399,0.001117207664410223
EFO_0002616,0.000940379913485048,0.34375004867390857,1.454836643233536e-05,6.365390061497536e-05,0.00034191273729222753
EFO_0002625,0.0003761519653940192,0.29744713650789,0.0,3.69875119743612e-05,0.00028321096270309025
EFO_1001380,0.0026330637577581346,0.36248896447458084,6.358809977901054e-05,0.00010134382913531945,0.001026962496043023
EFO_1001455,0.005266127515516269,0.3683700167998288,0.00011681484938241305,0.0001661232350489064,0.0013524167993888131
MONDO_0003689,0.0020688358096671057,0.3436388818513635,3.34367208952584e-05,8.142479365369409e-05,0.0006010128411564634
MONDO_0004891,0.0011284558961820576,0.32849021592085637,0.0002179757380874445,8.138432951443721e-05,0.00014275129871467663
MONDO_0043364,0.0003761519653940192,0.2914746956497658,0.0,3.6905636714136574e-05,4.847908049938874e-05
Orphanet_103908,0.0003761519653940192,0.3075721171879085,0.0,3.629016470087476e-05,0.0001320155967506727
Orphanet_331187,0.0015046078615760768,0.3410360583030959,6.431840742626469e-07,6.438709996605893e-05,0.0006803643495739447
EFO_0002689,0.0005642279480910288,0.3022184728272998,4.3618284760085053e-07,4.420940622992281e-05,0.00011471045778882934
EFO_0003083,0.0015046078615760768,0.3453364154893683,0.000273549898429154,0.00010477230899465519,0.00020640327030116884
EFO_0003085,0.0013165318788790673,0.343683339951092,6.417426936609372e-05,8.015569867146407e-05,0.0003170970079978876
EFO_0003857,0.0003761519653940192,0.30003392547458385,5.691068722730294e-05,5.835639912576907e-05,5.2826609254994855e-05
EFO_0004207,0.0024449877750611247,0.37076069450829946,6.751438404781271e-06,9.849101131867351e-05,0.0008802542823643045
EFO_0005773,0.0033853676885461726,0.38170851011595164,0.0008366566879380856,0.00014548959902777468,0.0014514748693914092
EFO_0007053,0.0001880759826970096,0.29569238381032564,0.0,3.4561814495310326e-05,5.216952926025645e-05
EFO_0010283,0.0013165318788790673,0.3380631682555314,3.277645464704735e-05,7.728899108051687e-05,0.00020222031930803796
EFO_1000015,0.000940379913485048,0.347164189251433,7.5698409551117e-05,6.7552158295139e-05,0.0002088690735129336
EFO_1000037,0.000940379913485048,0.34129894984929215,1.3591907128916565e-05,6.422695973926136e-05,0.000317283214264086
EFO_1000051,0.001880759826970096,0.34475379613937646,1.7717054466504915e-05,8.10757951338006e-05,0.0003713837810003248
EFO_1000066,0.0007523039307880384,0.3364362178510595,1.1473373619417107e-05,5.9989453579221035e-05,0.00018990744940341502
EFO_1000071,0.0007523039307880384,0.3364362178510595,1.1473373619417107e-05,5.9989453579221035e-05,0.00018990744940341502
EFO_1000125,0.0015046078615760768,0.35292950393941347,3.6180867364133996e-05,7.801205174296744e-05,0.0007988978421411912
EFO_1000141,0.0015046078615760768,0.3574889484796078,0.00020444178316763478,8.736628216653546e-05,0.00045126844797780763
EFO_1000171,0.0007523039307880384,0.3364362178510595,1.1473373619417107e-05,5.9989453579221035e-05,0.00018990744940341502
EFO_1000208,0.0007523039307880384,0.3364362178510595,1.1473373619417107e-05,5.9989453579221035e-05,0.00018990744940341502
EFO_1000214,0.000940379913485048,0.3365001426501952,0.00010006569425402047,7.631776987560604e-05,0.00018992269112682081
EFO_1000217,0.0011284558961820576,0.34616893095542944,2.8392249464797186e-05,7.148862640470863e-05,0.0003547561253451198
EFO_1000220,0.0001880759826970096,0.29569238381032564,0.0,3.4561814495310326e-05,5.216952926025645e-05
EFO_1000254,0.0016926838442730863,0.36367997483085296,0.0005386850920127139,9.919112748041276e-05,0.00036498395545172033
EFO_1000298,0.0003761519653940192,0.30100281866772033,2.566998728592877e-06,4.565492633624089e-05,5.642764236640007e-05
EFO_1000344,0.000940379913485048,0.3372049220807268,3.377088489527433e-05,7.044880780724774e-05,0.00019125922364662161
EFO_1000348,0.0011284558961820576,0.34757299177704637,8.577772923870553e-05,7.372035135652335e-05,0.00022208230148182311
EFO_1000357,0.003197291705849163,0.3852233724118279,4.628819525166898e-05,0.00011197680090772839,0.0014826520547803358
EFO_1000358,0.000940379913485048,0.34129894984929215,1.3591907128916565e-05,6.422695973926136e-05,0.000317283214264086
EFO_1000398,0.001880759826970096,0.3645033446970315,0.0002262648425253294,8.896495740873508e-05,0.0011287351381760154
EFO_1000412,0.001880759826970096,0.35949663389295156,4.8549716493116816e-05,9.027298168368415e-05,0.0007723816108500336
EFO_1000421,0.0011284558961820576,0.34601112030634523,0.00021120626992129053,7.98682036538164e-05,0.0002417365780747682
EFO_1000435,0.003197291705849163,0.3852233724118279,4.628819525166898e-05,0.00011197680090772839,0.0014826520547803358
EFO_1000464,0.0011284558961820576,0.34657539153972156,0.0001181964924726747,7.319720400457747e-05,0.0003617335023967677
EFO_1000499,0.0013165318788790673,0.3471868752730792,6.111013581540645e-05,8.304360093316962e-05,0.00035624372642241935
EFO_1000516,0.001880759826970096,0.3555987385251276,0.00010527047416359996,9.873965529810897e-05,0.0006514219210824179
